,Run,Object,RA,Dec,Equinox,UT,Airm,Instr,Texp sec,Sky PA,Filters etc.,Slit,Grat,CenwA,Comments,night,date,mjd,RA_deg,Dec_deg,search_group
1319,1627519,C2020K1,17:22:37.06,+03:07:29.0,2000.0,23:50,1.63,6  IDS,900.0,49.0,Clear,2.0,R400B,4414.5,,20220818,20220818,59809.993055555555,260.65441666666663,3.124722222222222,83.0
1320,1627520,C2020K1,17:22:37.31,+03:07:17.1,2000.0,00:10,1.8,7  IDS,900.0,49.0,Clear,2.0,R400B,4414.5,,20220818,20220819,59810.006944444445,260.65545833333334,3.1214166666666667,83.0
1321,1627521,C2020K1,17:23:03.90,+02:59:32.9,2000.0,00:26,1.98,4  IDS,900.0,49.0,Clear,2.0,R400B,4414.5,sky offset down 10',20220818,20220819,59810.018055555556,260.76624999999996,2.992472222222222,83.0
1322,1627522,C2020K1,17:22:37.79,+03:06:55.0,2000.0,00:44,2.25,1  IDS,900.0,49.0,Clear,2.0,R400B,4414.5,,20220818,20220819,59810.03055555555,260.65745833333335,3.115277777777778,83.0
1323,1627525,9P,22:52:45.87,-27:47:29.6,2000.0,01:31,1.83,8  IDS,900.0,358.0,Clear,2.0,R400B,4414.5,,20220818,20220819,59810.06319444445,343.19112499999994,-27.791555555555558,84.0
1324,1627526,9P,22:51:59.92,-27:47:54.3,2000.0,01:48,1.81,4  IDS,900.0,358.0,Clear,2.0,R400B,4414.5,sky offset up 10',20220818,20220819,59810.075,342.99966666666666,-27.798416666666668,84.0
1325,1627527,9P,22:52:44.47,-27:47:38.6,2000.0,02:05,1.8,5  IDS,900.0,358.0,Clear,2.0,R400B,4414.5,,20220818,20220819,59810.086805555555,343.1852916666666,-27.794055555555556,84.0
1326,1627528,9P,22:53:28.91,-27:47:22.3,2000.0,02:22,1.8,9  IDS,900.0,358.0,Clear,2.0,R400B,4414.5,sky offset down 10',20220818,20220819,59810.09861111111,343.3704583333333,-27.789527777777778,84.0
1327,1627529,9P,22:52:42.80,-27:47:48.9,2000.0,02:40,1.83,0  IDS,900.0,358.0,Clear,2.0,R400B,4414.5,,20220818,20220819,59810.11111111111,343.17833333333334,-27.796916666666668,84.0
1328,1627531,22P,1:41:29.83,+03:58:11.5,2000.0,03:12,1.22,0  IDS,900.0,322.0,Clear,2.0,R400B,4414.5,,20220818,20220819,59810.13333333333,25.374291666666664,3.9698611111111113,85.0
